Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
010-0828-423.01-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,WORKERS COMPENSATION,2017,$0,,,,,,,,,,,,,,
010-0828-423.01-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0828-423.02-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$5,465",,,,,,,,,,,,,,
010-0828-423.02-35,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$7,160",,,,,,,,,,,,,,
010-0828-423.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$14,105",,,,,,,,,,,,,,
010-0828-423.03-21,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2017,"$7,385",,,,,,,,,,,,,,
010-0828-423.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,UTILITY SERVICES,2017,"$12,000",,,,,,,,,,,,,,
010-0828-423.04-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2017,"$37,800",,,,,,,,,,,,,,
010-0828-423.05-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$7,490",,,,,,,,,,,,,,
010-0828-423.06-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,OPERATING SUPPLIES,2017,"$3,000",,,,,,,,,,,,,,
010-0828-423.06-31,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,MAINTENANCE SUPPLIES,2017,"$20,000",,,,,,,,,,,,,,
010-0828-423.06-33,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,CHEMICAL SUPPLIES,2017,"$1,000",,,,,,,,,,,,,,
010-0828-423.06-37,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,SMALL TOOLS/INSTRUMENTS,2017,$0,,,,,,,,,,,,,,
010-0828-423.06-38,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,SAFETY EQUIPMENT,2017,$100,,,,,,,,,,,,,,
010-0828-423.06-60,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SUPPLIES,STREET LIGHTING SUPPLIES,2017,$0,,,,,,,,,,,,,,
010-0840-430.01-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SALARIES/WAGES,FULL TIME SALARIES,2017,"$119,275",,,,,,,,,,,,,,
010-0840-430.01-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SALARIES/WAGES,OVERTIME PAY,2017,$0,,,,,,,,,,,,,,
010-0840-430.01-24,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0840-430.01-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0840-430.02-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$8,785",,,,,,,,,,,,,,
010-0840-430.02-35,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$11,955",,,,,,,,,,,,,,
010-0840-430.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$2,705",,,,,,,,,,,,,,
010-0840-430.02-54,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,EMPLOYEE BENEFITS,RETIREE HEALTH INSURANCE,2017,$0,,,,,,,,,,,,,,
010-0840-430.02-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2017,"$2,450",,,,,,,,,,,,,,
010-0840-430.03-36,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$9,360",,,,,,,,,,,,,,
010-0840-430.04-15,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,PROPERTY SERVICES,RENTAL EXPENSE,2017,$200,,,,,,,,,,,,,,
010-0840-430.04-26,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,PROPERTY SERVICES,MAINTENANCE CONTRACTS,2017,$565,,,,,,,,,,,,,,
010-0840-430.04-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$6,400",,,,,,,,,,,,,,
010-0840-430.05-03,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,TELECOMMUNICATIONS,2017,$240,,,,,,,,,,,,,,
010-0840-430.05-04,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,POSTAGE/SHIPPING,2017,$150,,,,,,,,,,,,,,
010-0840-430.05-05,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,MEMBERSHIP/PUBLICATIONS,2017,"$1,150",,,,,,,,,,,,,,
010-0840-430.05-06,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2017,$200,,,,,,,,,,,,,,
010-0840-430.05-07,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,PUBLIC/EMPLOYEE RELATIONS,2017,$525,,,,,,,,,,,,,,
010-0840-430.05-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$4,245",,,,,,,,,,,,,,
010-0840-430.06-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SUPPLIES,OFFICE SUPPLIES,2017,"$1,500",,,,,,,,,,,,,,
010-0840-430.06-38,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,SUPPLIES,SAFETY EQUIPMENT,2017,$100,,,,,,,,,,,,,,
010-0840-430.07-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,CAPITAL EQUIPMENT,RADIO EQUIPMENT,2017,$0,,,,,,,,,,,,,,
010-0840-430.10-44,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ADMINISTRATION,PUBLIC WORKS,ADMINISTRATION,INTERFUND TRANSFERS,TRANS TO EQUIP FUND,2017,$0,,,,,,,,,,,,,,
010-0841-432.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,BUILDINGS & GROUNDS,PUBLIC WORKS,SANITATION,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,$0,,,,,,,,,,,,,,
010-0841-432.04-28,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,BUILDINGS & GROUNDS,PUBLIC WORKS,SANITATION,PROPERTY SERVICES,VEHICLE LEASE,2017,$0,,,,,,,,,,,,,,
010-0841-432.06-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,BUILDINGS & GROUNDS,PUBLIC WORKS,SANITATION,SUPPLIES,OPERATING SUPPLIES,2017,"$113,875",,,,,,,,,,,,,,
010-0842-435.01-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,FULL TIME SALARIES,2017,"$937,340",,,,,,,,,,,,,,
010-0842-435.01-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,OVERTIME PAY,2017,"$36,000",,,,,,,,,,,,,,
010-0842-435.01-23,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,DUTY DISABILITY,2017,$0,,,,,,,,,,,,,,
010-0842-435.01-24,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0842-435.01-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,WORKERS COMPENSATION,2017,$0,,,,,,,,,,,,,,
010-0842-435.01-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0842-435.02-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$72,985",,,,,,,,,,,,,,
010-0842-435.02-35,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$97,525",,,,,,,,,,,,,,
010-0842-435.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$146,090",,,,,,,,,,,,,,
010-0842-435.02-54,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,RETIREE HEALTH BENEFITS,2017,$0,,,,,,,,,,,,,,
010-0842-435.02-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2017,"$4,800",,,,,,,,,,,,,,
010-0842-435.03-21,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROFESSIONAL SERVICES,SEASONAL EMPLOYMNT AGENCY,2017,"$5,000",,,,,,,,,,,,,,
010-0842-435.03-36,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$62,225",,,,,,,,,,,,,,
010-0842-435.04-15,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,EQUIPMENT RENTAL,2017,$0,,,,,,,,,,,,,,
010-0842-435.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,UTILITY SERVICE,2017,"$2,500",,,,,,,,,,,,,,
010-0842-435.04-28,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,VEHICLE LEASE,2017,"$32,470",,,,,,,,,,,,,,
010-0842-435.04-29,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2017,$0,,,,,,,,,,,,,,
010-0842-435.04-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$18,325",,,,,,,,,,,,,,
010-0842-435.04-40,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,TAXES,2017,$0,,,,,,,,,,,,,,
010-0842-435.05-02,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,PRINTING/DUPLICATING,2017,$500,,,,,,,,,,,,,,
010-0842-435.05-03,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,TELECOMMUNICATIONS,2017,$0,,,,,,,,,,,,,,
010-0842-435.05-04,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,POSTAGE/SHIPPING,2017,$700,,,,,,,,,,,,,,
010-0842-435.05-05,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,MEMBERSHIP/PUBLICATION,2017,"$1,200",,,,,,,,,,,,,,
010-0842-435.05-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$28,140",,,,,,,,,,,,,,
010-0842-435.06-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SUPPLIES,OFFICE SUPPLIES,2017,"$4,400",,,,,,,,,,,,,,
010-0842-435.06-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SUPPLIES,OPERATING SUPPLIES,2017,"$3,500",,,,,,,,,,,,,,
010-0842-435.06-37,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SUPPLIES,SMALL TOOLS,2017,$200,,,,,,,,,,,,,,
010-0842-435.06-38,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,SUPPLIES,SAFETY EQUIPMENT,2017,$900,,,,,,,,,,,,,,
010-0842-435.07-04,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,ENGINEERING DIVISION,PUBLIC WORKS,ENGINEERING,CAPITAL EXPENDITURES,OPERATING EQUIPMENT,2017,$0,,,,,,,,,,,,,,
010-0843-435.01-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,FULL TIME SALARIES,2017,"$124,060",,,,,,,,,,,,,,
010-0843-435.01-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,OVERTIME PAY,2017,"$12,000",,,,,,,,,,,,,,
010-0843-435.01-23,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,DUTY DISABILITY,2017,$0,,,,,,,,,,,,,,
010-0843-435.01-24,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0843-435.01-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0843-435.02-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$10,410",,,,,,,,,,,,,,
010-0843-435.02-35,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$13,635",,,,,,,,,,,,,,
010-0843-435.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$14,105",,,,,,,,,,,,,,
010-0843-435.03-32,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROFESSIONAL SERVICES,JULIE LOCATES,2017,"$1,500",,,,,,,,,,,,,,
010-0843-435.03-36,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$11,390",,,,,,,,,,,,,,
010-0843-435.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,UTILITY SERVICE,2017,"$430,000",,,,,,,,,,,,,,
010-0843-435.04-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2017,"$56,000",,,,,,,,,,,,,,
010-0843-435.04-28,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,VEHICLE LEASE,2017,"$22,395",,,,,,,,,,,,,,
010-0843-435.04-29,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2017,$0,,,,,,,,,,,,,,
010-0843-435.04-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$3,645",,,,,,,,,,,,,,
010-0843-435.05-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$5,590",,,,,,,,,,,,,,
010-0843-435.06-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SUPPLIES,OPERATING SUPPLIES,2017,"$60,000",,,,,,,,,,,,,,
010-0843-435.06-37,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SUPPLIES,SMALL TOOLS,2017,$750,,,,,,,,,,,,,,
010-0843-435.06-38,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,TRAFFIC SIGNAL MAINT,PUBLIC WORKS,ENGINEERING,SUPPLIES,SAFETY EQUIPMENT,2017,$250,,,,,,,,,,,,,,
010-0844-431.01-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,FULL TIME SALARIES,2017,"$1,335,140",,,,,,,,,,,,,,
010-0844-431.01-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,OVERTIME PAY,2017,"$75,000",,,,,,,,,,,,,,
010-0844-431.01-13,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,SCHEDULE DEVIATION PAY,2017,"$1,800",,,,,,,,,,,,,,
010-0844-431.01-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,STANDBY PAY,2017,"$20,000",,,,,,,,,,,,,,
010-0844-431.01-17,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,SHIFT PAY,2017,"$2,100",,,,,,,,,,,,,,
010-0844-431.01-23,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,DUTY DISABILITY,2017,$0,,,,,,,,,,,,,,
010-0844-431.01-24,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,ACCUMULATED SICK PAY,2017,$0,,,,,,,,,,,,,,
010-0844-431.01-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,WORKERS COMPENSATION,2017,$0,,,,,,,,,,,,,,
010-0844-431.01-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0844-431.02-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$109,705",,,,,,,,,,,,,,
010-0844-431.02-35,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$143,690",,,,,,,,,,,,,,
010-0844-431.02-50,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$233,855",,,,,,,,,,,,,,
010-0844-431.02-54,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,EMPLOYEE BENEFITS,RETIREE HEALTH BENEFITS,2017,$0,,,,,,,,,,,,,,
010-0844-431.02-55,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2017,"$2,450",,,,,,,,,,,,,,
010-0844-431.03-21,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROFESSION SERVICES,SEASONAL EMPLOYMENT,2017,"$44,670",,,,,,,,,,,,,,
010-0844-431.03-36,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROFESSION SERVICES,MUNICIPAL IT CHARGES,2017,"$20,800",,,,,,,,,,,,,,
010-0844-431.04-15,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,EQUIPMENT RENTAL,2017,"$15,000",,,,,,,,,,,,,,
010-0844-431.04-25,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2017,"$55,000",,,,,,,,,,,,,,
010-0844-431.04-26,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,MAINT SERV CONTRACT,2017,"$12,145",,,,,,,,,,,,,,
010-0844-431.04-27,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,CONTRACTUAL SERVICES,2017,"$1,300",,,,,,,,,,,,,,
010-0844-431.04-28,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,VEHICLE LEASE,2017,"$851,660",,,,,,,,,,,,,,
010-0844-431.04-29,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2017,$0,,,,,,,,,,,,,,
010-0844-431.04-30,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,STREET SECTION,PUBLIC WORKS,HIGHWAYS & STREETS,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$130,405",,,,,,,,,,,,,,
